userid,sessionid,session_duration,click_frequency,product_switch_count,purchase_ratio,cart_abandonment,cluster,user_segment,loss_aversion,comparison_overload,decision_fatigue,impulsive_behavior
1,1,3600.0,9,4,0.0,1.0,2,Loyal Users,1,0,1,0
1,2,3600.0,6,1,0.0,0.0,0,Explorers,0,0,0,0
1,3,3600.0,9,5,0.1111111111111111,0.0,1,Impulsive Buyers,0,0,0,0
1,4,3600.0,10,6,0.1,0.0,1,Impulsive Buyers,0,1,0,0
1,5,3600.0,9,5,0.4444444444444444,0.0,1,Impulsive Buyers,0,0,0,0
1,6,3600.0,8,6,0.0,1.0,2,Loyal Users,1,1,1,0
1,7,3600.0,8,8,0.0,1.0,2,Loyal Users,1,1,1,0
1,8,3600.0,10,2,0.0,0.0,0,Explorers,0,0,0,0
1,9,3600.0,8,6,0.25,0.0,1,Impulsive Buyers,0,1,0,0
1,10,3600.0,5,2,0.0,1.0,2,Loyal Users,0,0,1,0
2,1,3600.0,7,1,0.1428571428571428,0.0,0,Explorers,0,0,0,0
2,2,3600.0,8,3,0.25,0.0,3,Hesitant Users,0,0,0,0
2,3,3600.0,6,3,0.1666666666666666,0.0,3,Hesitant Users,0,0,0,0
2,4,3600.0,5,4,0.0,1.0,2,Loyal Users,0,0,1,0
2,5,3600.0,7,3,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
2,6,3600.0,8,6,0.25,0.0,1,Impulsive Buyers,0,1,0,0
2,7,3600.0,9,4,0.3333333333333333,0.0,1,Impulsive Buyers,0,0,0,0
2,8,3600.0,8,3,0.125,0.0,1,Impulsive Buyers,0,0,0,0
2,9,3600.0,6,2,0.0,1.0,2,Loyal Users,1,0,1,0
2,10,3600.0,9,6,0.2222222222222222,0.0,1,Impulsive Buyers,0,1,0,0
3,1,3600.0,6,2,0.1666666666666666,0.0,3,Hesitant Users,0,0,0,0
3,2,3600.0,6,1,0.0,1.0,2,Loyal Users,1,0,1,0
3,3,3600.0,5,1,0.0,0.0,0,Explorers,0,0,0,0
3,4,3600.0,5,3,0.6,0.0,3,Hesitant Users,0,0,0,0
3,5,3600.0,9,3,0.1111111111111111,0.0,1,Impulsive Buyers,0,0,0,0
3,6,3600.0,7,2,0.0,1.0,2,Loyal Users,1,0,1,0
3,7,3600.0,5,5,0.2,0.0,3,Hesitant Users,0,0,0,0
3,8,3600.0,5,3,0.0,1.0,2,Loyal Users,0,0,1,0
3,9,3600.0,6,1,0.0,0.0,0,Explorers,0,0,0,0
3,10,3600.0,10,6,0.0,1.0,2,Loyal Users,1,1,1,0
4,1,3600.0,9,3,0.2222222222222222,0.0,1,Impulsive Buyers,0,0,0,0
4,2,3600.0,5,1,0.0,1.0,2,Loyal Users,0,0,1,0
4,3,3600.0,9,5,0.0,1.0,2,Loyal Users,1,0,1,0
4,4,3600.0,9,3,0.1111111111111111,0.0,1,Impulsive Buyers,0,0,0,0
4,5,3600.0,10,4,0.1,0.0,1,Impulsive Buyers,0,0,0,0
4,6,3600.0,10,2,0.1,0.0,1,Impulsive Buyers,0,0,0,0
4,7,3600.0,5,4,0.2,0.0,3,Hesitant Users,0,0,0,0
4,8,3600.0,8,1,0.0,0.0,0,Explorers,0,0,0,0
4,9,3600.0,8,5,0.125,0.0,1,Impulsive Buyers,0,0,0,0
4,10,3600.0,10,4,0.2,0.0,1,Impulsive Buyers,0,0,0,0
5,1,3600.0,8,2,0.0,1.0,2,Loyal Users,1,0,1,0
5,2,3600.0,7,6,0.0,1.0,2,Loyal Users,1,1,1,0
5,3,3600.0,9,2,0.0,1.0,2,Loyal Users,1,0,1,0
5,4,3600.0,9,2,0.1111111111111111,0.0,0,Explorers,0,0,0,0
5,5,3600.0,9,4,0.2222222222222222,0.0,1,Impulsive Buyers,0,0,0,0
5,6,3600.0,10,6,0.2,0.0,1,Impulsive Buyers,0,1,0,0
5,7,3600.0,9,4,0.1111111111111111,0.0,1,Impulsive Buyers,0,0,0,0
5,8,3600.0,6,1,0.0,1.0,2,Loyal Users,1,0,1,0
5,9,3600.0,7,3,0.0,1.0,2,Loyal Users,1,0,1,0
5,10,3600.0,10,4,0.1,0.0,1,Impulsive Buyers,0,0,0,0
6,1,3600.0,7,2,0.1428571428571428,0.0,0,Explorers,0,0,0,0
6,2,3600.0,8,2,0.125,0.0,0,Explorers,0,0,0,0
6,3,3600.0,8,1,0.125,0.0,0,Explorers,0,0,0,0
6,4,3600.0,9,6,0.5555555555555556,0.0,1,Impulsive Buyers,0,1,0,0
6,5,3600.0,10,5,0.2,0.0,1,Impulsive Buyers,0,0,0,0
6,6,3600.0,9,3,0.0,1.0,2,Loyal Users,1,0,1,0
6,7,3600.0,8,3,0.125,0.0,1,Impulsive Buyers,0,0,0,0
6,8,3600.0,7,4,0.2857142857142857,0.0,3,Hesitant Users,0,0,0,0
6,9,3600.0,9,1,0.0,1.0,2,Loyal Users,1,0,1,0
6,10,3600.0,8,4,0.375,0.0,1,Impulsive Buyers,0,0,0,0
7,1,3600.0,6,4,0.0,1.0,2,Loyal Users,1,0,1,0
7,2,3600.0,5,2,0.2,0.0,3,Hesitant Users,0,0,0,0
7,3,3600.0,7,4,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
7,4,3600.0,8,3,0.25,0.0,3,Hesitant Users,0,0,0,0
7,5,3600.0,7,3,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
7,6,3600.0,7,5,0.2857142857142857,0.0,3,Hesitant Users,0,0,0,0
7,7,3600.0,10,2,0.1,0.0,1,Impulsive Buyers,0,0,0,0
7,8,3600.0,9,3,0.2222222222222222,0.0,1,Impulsive Buyers,0,0,0,0
7,9,3600.0,7,3,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
7,10,3600.0,10,2,0.1,0.0,1,Impulsive Buyers,0,0,0,0
8,1,3600.0,7,3,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
8,2,3600.0,9,4,0.3333333333333333,0.0,1,Impulsive Buyers,0,0,0,0
8,3,3600.0,5,1,0.0,1.0,2,Loyal Users,0,0,1,0
8,4,3600.0,7,4,0.1428571428571428,0.0,3,Hesitant Users,0,0,0,0
8,5,3600.0,5,2,0.0,1.0,2,Loyal Users,0,0,1,0
8,6,3600.0,5,3,0.2,0.0,3,Hesitant Users,0,0,0,0
8,7,3600.0,8,4,0.125,0.0,1,Impulsive Buyers,0,0,0,0
8,8,3600.0,5,1,0.2,0.0,3,Hesitant Users,0,0,0,0
8,9,3600.0,10,9,0.3,0.0,1,Impulsive Buyers,0,1,0,0
8,10,3600.0,9,4,0.1111111111111111,0.0,1,Impulsive Buyers,0,0,0,0
9,1,3600.0,7,0,0.0,0.0,0,Explorers,0,0,0,0
