userid,sessionid,session_duration,click_frequency,product_switch_count,purchase_ratio,cart_abandonment,engagement_score,interaction_density,purchase_intent_score,hesitation_score,clicks_per_minute,switch_rate,engagement_ratio,cluster,user_segment
1,1,3600.0,9,4,0.0,1.0,0.0024993057484032,0.4,0.0099972229936128,720.0,0.1475409836065573,0.4,0.0062326826643471,2,Loyal Users
1,2,3600.0,6,1,0.0,0.0,0.0016662038322688,0.1428571428571428,0.0016662038322688,1800.0,0.0983606557377049,0.1428571428571428,0.0115823503732688,0,Explorers
1,3,3600.0,9,5,0.1111111111111111,0.0,0.0024993057484032,0.5,0.0124965287420161,600.0,0.1475409836065573,0.5,0.0049886342283497,1,Impulsive Buyers
1,4,3600.0,10,6,0.1,0.0,0.0027770063871146,0.5454545454545454,0.0166620383226881,514.2857142857143,0.1639344262295081,0.5454545454545454,0.0050818616300551,1,Impulsive Buyers
1,5,3600.0,9,5,0.4444444444444444,0.0,0.0024993057484032,0.5,0.0124965287420161,600.0,0.1475409836065573,0.5,0.0049886342283497,1,Impulsive Buyers
1,6,3600.0,8,6,0.0,1.0,0.0022216051096917,0.6666666666666666,0.0133296306581505,514.2857142857143,0.1311475409836065,0.6666666666666666,0.003327416539728,2,Loyal Users
1,7,3600.0,8,8,0.0,1.0,0.0022216051096917,0.8888888888888888,0.017772840877534,400.0,0.1311475409836065,0.8888888888888888,0.0024964971890655,1,Impulsive Buyers
1,8,3600.0,10,2,0.0,0.0,0.0027770063871146,0.1818181818181818,0.0055540127742293,1200.0,0.1639344262295081,0.1818181818181818,0.0151899901831236,3,Hesitant Users
1,9,3600.0,8,6,0.25,0.0,0.0022216051096917,0.6666666666666666,0.0133296306581505,514.2857142857143,0.1311475409836065,0.6666666666666666,0.003327416539728,1,Impulsive Buyers
1,10,3600.0,5,2,0.0,1.0,0.0013885031935573,0.3333333333333333,0.0027770063871146,1200.0,0.081967213114754,0.3333333333333333,0.0041530504293838,2,Loyal Users
2,1,3600.0,7,1,0.1428571428571428,0.0,0.0019439044709802,0.125,0.0019439044709802,1800.0,0.1147540983606557,0.125,0.0154278132617482,0,Explorers
2,2,3600.0,8,3,0.25,0.0,0.0022216051096917,0.3333333333333333,0.0066648153290752,900.0,0.1311475409836065,0.3333333333333333,0.0066448806870142,3,Hesitant Users
